11569	Music Choice Happy Hits
11570	Music Choice Pop Hits
11571	Music Choice Today's Latin Hits
11572	Music Choice Tropicales
11573	Music Choice Romantic Latin Pop
11574	Music Choice '70s & '80s Favorites
11575	Music Choice '90s
11576	Music Choice '80s
11577	Music Choice '70s
11578	Music Choice '60s Generation
11579	Music Choice Solid Gold Oldies
11580	Music Choice Pop & Country
11581	Music Choice Today's Country
11582	Music Choice Country Favorites
11583	Music Choice Classic Country
11584	Music Choice Country Rock
11585	Music Choice Sleep Sounds
11586	Music Choice Relaxing Vibes
11587	Music Choice Calming Classical
11588	Music Choice Joyful Instrumentals
11589	Music Choice Pop Instrumentals
11590	Music Choice Light Classical
11591	Music Choice Classical Masterpieces
11592	Music Choice Soundscapes
11593	Music Choice Smooth Jazz
11594	Music Choice Jazz
11595	Music Choice Blues
11596	Music Choice Singers & Swing
11597	Music Choice Easy Listening
11598	Music Choice Classic Christmas
11599	Music Choice Sounds of the Seasons
11606	MTV - Music Television HD
11607	VH1 HD
11608	CMT HD
11612	MTVLIVE
11613	AXS TV
11614	MTV Classic
11615	Nick Music
11619	CMT Music
11623	AFRO
11624	Cleo TV HD
11625	BET HD
11626	TV ONE HD
11627	ASPiRE HD
11628	BET Her HD
11629	The Africa Channel HD
11630	BET Soul
11631	BET GOSPEL SD
11632	BET Hip Hop
11633	BET Jams
11636	The Grio HD
11637	Revolt HD
11639	MTV2: Music Television HD
11642	Stingray Flashback 70's
11643	Stingray Hit List
11645	Stingray Pop Adult
11646	Stingray Rock Alternative
11647	Stingray Today's Latin Pop
11648	Stingray Urban Beats
11684	JBSHD
11701	Disney Junior HD
11702	Nick Jr HD
11714	Discovery Family Channel HD
11715	Disney Channel HD
11716	Disney XD HD
11721	Primo TV HD
11722	Kids Street HD
11727	Nicktoons HD
11728	Nickelodeon HD
11733	Adult Swim/Cartoon Network TVE
11734	Cartoon Network - Excludes Adult Swim
11740	Teen Nick HD
11742	Freeform Streaming East
11755	Turner Classic Movies HD
11766	FX Movie Channel HD
11773	Starz Encore HD
11775	Starz Encore Action HD
11777	Starz Encore Black HD
11784	Starz Encore Westerns
11786	ScreenPix
11787	ScreenPix Action
11788	ScreenPix Voices
11789	ScreenPix Westerns
11802	HBO East
11803	HBO West
11804	HBO Hits
11806	HBO Drama
11810	HBO Comedy HD
11812	HBO Movies
11814	HBO Latino HD
11816	AMC+
11820	Cinemax HD
11821	Cinemax HD (Pacific)
11822	Cinemax Hits
11824	Cinemax Action
11830	Cinemax Classics
11834	Cinemax Spanish HD
11840	Paramount+ with Showtime HD
11841	Paramount+ with Showtime HD (Pacific)
11842	SHO 2 HD
11844	SHO x BET HD
11846	Showtime Showcase HD
11848	Showtime Extreme HD
11850	Showtime Women HD
11852	Showtime Familyzone
11854	Showtime Next HD
11868	Starz HD
11869	Starz HD (Pacific)
11871	MGM+ HD
11872	MGM+ HD West
11873	MGM+ Hits HD
11874	MGM+ Marquee HD
11875	MGM+ Drive-In HD
13034	Atlanta Hawks: NBA League Pass
13035	Boston Celtics: NBA League Pass
13036	Brooklyn Nets: NBA League Pass
13037	Charlotte Hornets: NBA League Pass
